time,open,high,low,close,tick_volume
2024-11-12 16:00:00,1.0623,1.0626,1.0614,1.06174,4468
2024-11-12 17:00:00,1.06173,1.0618,1.06016,1.06091,4955
2024-11-12 18:00:00,1.06089,1.06158,1.0596,1.05982,4432
2024-11-12 19:00:00,1.05982,1.06082,1.05946,1.06069,4121
2024-11-12 20:00:00,1.0607,1.06171,1.06065,1.06162,2938
2024-11-12 21:00:00,1.06159,1.06187,1.06123,1.06125,2104
2024-11-12 22:00:00,1.06125,1.06236,1.06094,1.06222,2182
2024-11-12 23:00:00,1.06222,1.06268,1.06222,1.06236,1406
2024-11-13 00:00:00,1.06211,1.06233,1.06173,1.06198,1083
2024-11-13 01:00:00,1.06204,1.06216,1.06138,1.06166,974
2024-11-13 02:00:00,1.06166,1.06172,1.06109,1.06128,1920
2024-11-13 03:00:00,1.06128,1.06293,1.06119,1.0628,3054
2024-11-13 04:00:00,1.06281,1.06294,1.06216,1.06261,2518
2024-11-13 05:00:00,1.06262,1.06282,1.06178,1.06191,1576
2024-11-13 06:00:00,1.0619,1.06226,1.06176,1.06179,1378
2024-11-13 07:00:00,1.06179,1.06186,1.06097,1.06131,1847
2024-11-13 08:00:00,1.06131,1.0617,1.06073,1.06135,2486
2024-11-13 09:00:00,1.06129,1.06145,1.06024,1.06031,2620
2024-11-13 10:00:00,1.06031,1.06131,1.05931,1.06122,3378
2024-11-13 11:00:00,1.06122,1.06298,1.06079,1.0627,3140
2024-11-13 12:00:00,1.0627,1.06285,1.06117,1.0615,2796
2024-11-13 13:00:00,1.0615,1.06383,1.06103,1.0637699999999999,2798
2024-11-13 14:00:00,1.06379,1.06437,1.06244,1.0631599999999999,3353
2024-11-13 15:00:00,1.06313,1.06534,1.06233,1.06366,7080
