time,open,high,low,close,tick_volume
2024-11-12 16:00:00,1.78579,1.78824,1.78576,1.7877399999999999,2763
2024-11-12 16:30:00,1.78772,1.7883200000000001,1.78693,1.7872599999999998,3241
2024-11-12 17:00:00,1.7873,1.7877,1.78632,1.78745,3164
2024-11-12 17:30:00,1.78743,1.7886,1.7873,1.78836,3170
2024-11-12 18:00:00,1.7883499999999999,1.79007,1.7879,1.78946,3079
2024-11-12 18:30:00,1.78946,1.7912599999999999,1.78904,1.7909899999999999,2680
2024-11-12 19:00:00,1.79097,1.79281,1.79096,1.79206,3093
2024-11-12 19:30:00,1.79209,1.79402,1.79183,1.7936800000000002,2526
2024-11-12 20:00:00,1.79375,1.794,1.79295,1.7931,2331
2024-11-12 20:30:00,1.7931,1.7933,1.7923900000000001,1.7925499999999999,2004
2024-11-12 21:00:00,1.7925200000000001,1.7931300000000001,1.79243,1.7929,1445
2024-11-12 21:30:00,1.79288,1.79297,1.79138,1.79196,1347
2024-11-12 22:00:00,1.7919100000000001,1.79197,1.7910300000000001,1.79155,1461
2024-11-12 22:30:00,1.79157,1.79218,1.79061,1.79203,1646
2024-11-12 23:00:00,1.79196,1.79305,1.7915999999999999,1.79297,1370
2024-11-12 23:30:00,1.79297,1.79366,1.7924099999999998,1.7925,784
2024-11-13 00:00:00,1.79054,1.7927300000000002,1.78972,1.7927,640
2024-11-13 00:30:00,1.79284,1.79322,1.79219,1.79295,874
2024-11-13 01:00:00,1.7932000000000001,1.79337,1.79218,1.79256,563
2024-11-13 01:30:00,1.79265,1.79314,1.7923200000000001,1.79243,729
2024-11-13 02:00:00,1.79243,1.7931599999999999,1.7922500000000001,1.7929599999999999,1201
2024-11-13 02:30:00,1.79294,1.79345,1.79193,1.79279,1593
2024-11-13 03:00:00,1.79281,1.79281,1.7903,1.79181,2319
2024-11-13 03:30:00,1.79186,1.79242,1.79129,1.79181,2872
2024-11-13 04:00:00,1.79181,1.7925200000000001,1.7912599999999999,1.7923200000000001,2036
2024-11-13 04:30:00,1.79234,1.79238,1.79114,1.7919800000000001,1836
2024-11-13 05:00:00,1.7919800000000001,1.79284,1.79116,1.7919,1449
2024-11-13 05:30:00,1.7919,1.79224,1.7911000000000001,1.79127,1158
2024-11-13 06:00:00,1.79127,1.79154,1.79086,1.79089,926
2024-11-13 06:30:00,1.79089,1.7911000000000001,1.79055,1.7906900000000001,924
2024-11-13 07:00:00,1.7906900000000001,1.7914400000000001,1.7903,1.7905799999999998,1646
2024-11-13 07:30:00,1.79057,1.79085,1.7898399999999999,1.79027,1496
2024-11-13 08:00:00,1.79028,1.7914400000000001,1.7901500000000001,1.79128,2198
2024-11-13 08:30:00,1.79131,1.7915999999999999,1.7907600000000001,1.7910599999999999,1586
2024-11-13 09:00:00,1.79105,1.79121,1.78925,1.78979,1984
2024-11-13 09:30:00,1.78979,1.78992,1.78857,1.78974,1988
2024-11-13 10:00:00,1.78978,1.79073,1.7885499999999999,1.79059,2377
2024-11-13 10:30:00,1.7905799999999998,1.7906499999999999,1.7892000000000001,1.7903799999999999,2073
2024-11-13 11:00:00,1.79036,1.79102,1.7901099999999999,1.79087,2109
2024-11-13 11:30:00,1.79084,1.79161,1.79024,1.7912,2238
2024-11-13 12:00:00,1.7912,1.79237,1.7911899999999998,1.79199,1880
2024-11-13 12:30:00,1.7920099999999999,1.79204,1.79081,1.7913999999999999,1587
2024-11-13 13:00:00,1.79139,1.7917,1.791,1.7912,1443
2024-11-13 13:30:00,1.7912,1.79341,1.79097,1.7934,1983
2024-11-13 14:00:00,1.7934,1.79378,1.79217,1.7925,2270
2024-11-13 14:30:00,1.7925200000000001,1.79394,1.79247,1.7936,2030
2024-11-13 15:00:00,1.79358,1.79434,1.79305,1.79305,2676
2024-11-13 15:30:00,1.79242,1.79348,1.78922,1.79148,5936
