time,open,high,low,close,tick_volume
2024-11-12 15:42:00,0.63212,0.63228,0.63209,0.63226,63
2024-11-12 15:43:00,0.63226,0.63235,0.63219,0.63234,69
2024-11-12 15:44:00,0.63234,0.63246,0.63233,0.63246,53
2024-11-12 15:45:00,0.63247,0.63254,0.63241,0.63243,52
2024-11-12 15:46:00,0.63243,0.63244,0.63235,0.63238,48
2024-11-12 15:47:00,0.63239,0.63253,0.63237,0.63246,58
2024-11-12 15:48:00,0.63246,0.63261,0.63246,0.6325,58
2024-11-12 15:49:00,0.6325,0.63256,0.63249,0.63256,40
2024-11-12 15:50:00,0.63256,0.63263,0.63253,0.63259,64
2024-11-12 15:51:00,0.63259,0.63272,0.63259,0.63271,47
2024-11-12 15:52:00,0.6327,0.6328,0.6327,0.63273,62
2024-11-12 15:53:00,0.63275,0.63281,0.63269,0.63273,49
2024-11-12 15:54:00,0.63275,0.63283,0.63275,0.63281,34
2024-11-12 15:55:00,0.63281,0.63282,0.63262,0.63262,56
2024-11-12 15:56:00,0.63263,0.63267,0.63256,0.63259,68
2024-11-12 15:57:00,0.63259,0.63271,0.63258,0.63271,58
2024-11-12 15:58:00,0.63271,0.63278,0.63271,0.63275,53
2024-11-12 15:59:00,0.63275,0.63288,0.63275,0.63283,69
2024-11-12 16:00:00,0.63283,0.63291,0.63283,0.6329,72
2024-11-12 16:01:00,0.6329,0.63294,0.63281,0.63283,84
2024-11-12 16:02:00,0.63282,0.63283,0.63271,0.63272,62
2024-11-12 16:03:00,0.63272,0.63275,0.63267,0.63272,75
2024-11-12 16:04:00,0.63271,0.63284,0.63271,0.63279,33
2024-11-12 16:05:00,0.63279,0.63282,0.63266,0.63266,61
2024-11-12 16:06:00,0.63267,0.63285,0.63266,0.63285,39
2024-11-12 16:07:00,0.63285,0.63288,0.63278,0.6328,41
2024-11-12 16:08:00,0.63279,0.63279,0.63269,0.63269,60
2024-11-12 16:09:00,0.63269,0.63277,0.63267,0.63277,56
2024-11-12 16:10:00,0.63277,0.63284,0.63272,0.63272,44
2024-11-12 16:11:00,0.63272,0.63273,0.63261,0.63263,43
2024-11-12 16:12:00,0.63263,0.63264,0.63237,0.63239,53
2024-11-12 16:13:00,0.63239,0.63249,0.63239,0.63244,65
2024-11-12 16:14:00,0.63244,0.63265,0.63242,0.6326,38
2024-11-12 16:15:00,0.6326,0.63266,0.63259,0.63259,49
2024-11-12 16:16:00,0.63259,0.63261,0.63247,0.63247,36
2024-11-12 16:17:00,0.63247,0.63258,0.63241,0.63243,50
2024-11-12 16:18:00,0.63243,0.63243,0.63228,0.63233,39
2024-11-12 16:19:00,0.63233,0.63242,0.63233,0.63241,44
2024-11-12 16:20:00,0.63241,0.63242,0.63232,0.63234,54
2024-11-12 16:21:00,0.63236,0.63239,0.63229,0.63239,43
2024-11-12 16:22:00,0.63239,0.63257,0.63237,0.63257,40
2024-11-12 16:23:00,0.63257,0.63257,0.63246,0.63247,35
2024-11-12 16:24:00,0.63247,0.63257,0.63245,0.63253,40
2024-11-12 16:25:00,0.63253,0.63258,0.63247,0.63248,34
2024-11-12 16:26:00,0.63247,0.63248,0.63242,0.63247,37
2024-11-12 16:27:00,0.63247,0.63248,0.63231,0.63236,46
2024-11-12 16:28:00,0.63235,0.63241,0.63232,0.63241,67
2024-11-12 16:29:00,0.6324,0.63243,0.63234,0.63238,43
2024-11-12 16:30:00,0.63239,0.6324,0.63227,0.63238,85
2024-11-12 16:31:00,0.63238,0.63248,0.63235,0.63242,52
2024-11-12 16:32:00,0.63242,0.63255,0.63241,0.63248,54
2024-11-12 16:33:00,0.63248,0.63248,0.63232,0.63233,66
2024-11-12 16:34:00,0.63233,0.63236,0.63219,0.6322,58
2024-11-12 16:35:00,0.63219,0.63223,0.63208,0.63214,70
2024-11-12 16:36:00,0.63215,0.63229,0.63211,0.63219,65
2024-11-12 16:37:00,0.63219,0.63222,0.63207,0.63218,74
2024-11-12 16:38:00,0.63218,0.63227,0.63218,0.6322,66
2024-11-12 16:39:00,0.6322,0.63224,0.63215,0.63218,43
2024-11-12 16:40:00,0.63219,0.63227,0.63217,0.63225,65
2024-11-12 16:41:00,0.63226,0.63229,0.63218,0.63228,50
2024-11-12 16:42:00,0.63228,0.63231,0.63213,0.63221,61
2024-11-12 16:43:00,0.63221,0.63226,0.63212,0.63216,45
2024-11-12 16:44:00,0.63217,0.6322,0.63209,0.6321,57
2024-11-12 16:45:00,0.63209,0.63217,0.63207,0.63216,66
2024-11-12 16:46:00,0.63215,0.63234,0.63215,0.63223,75
2024-11-12 16:47:00,0.63223,0.63227,0.6321,0.63212,50
2024-11-12 16:48:00,0.6321,0.63212,0.63204,0.6321,44
2024-11-12 16:49:00,0.63212,0.63232,0.63212,0.63229,55
2024-11-12 16:50:00,0.63229,0.63236,0.63225,0.63236,51
2024-11-12 16:51:00,0.63236,0.63243,0.63228,0.63231,66
2024-11-12 16:52:00,0.63231,0.63244,0.63228,0.63243,56
2024-11-12 16:53:00,0.63245,0.63245,0.63233,0.63236,37
2024-11-12 16:54:00,0.63236,0.63239,0.6323,0.63239,58
2024-11-12 16:55:00,0.63239,0.63247,0.63233,0.63247,56
2024-11-12 16:56:00,0.63247,0.63247,0.63235,0.63236,57
2024-11-12 16:57:00,0.63236,0.63238,0.63226,0.63227,66
2024-11-12 16:58:00,0.63228,0.63234,0.63226,0.63227,59
2024-11-12 16:59:00,0.63227,0.63242,0.63227,0.63239,61
2024-11-12 17:00:00,0.63239,0.63247,0.63232,0.63246,65
2024-11-12 17:01:00,0.63246,0.63259,0.63244,0.63259,44
2024-11-12 17:02:00,0.6326,0.63263,0.63248,0.6326,59
2024-11-12 17:03:00,0.63259,0.63264,0.63253,0.63257,65
2024-11-12 17:04:00,0.63258,0.63261,0.63253,0.63258,65
2024-11-12 17:05:00,0.63257,0.63267,0.63253,0.63262,74
2024-11-12 17:06:00,0.63262,0.63272,0.63258,0.63262,73
2024-11-12 17:07:00,0.63262,0.63264,0.63259,0.63261,73
2024-11-12 17:08:00,0.6326,0.63261,0.63247,0.63258,67
2024-11-12 17:09:00,0.63258,0.63266,0.63257,0.63264,62
2024-11-12 17:10:00,0.63263,0.63269,0.63259,0.63263,66
2024-11-12 17:11:00,0.63263,0.63277,0.63263,0.63275,64
2024-11-12 17:12:00,0.63275,0.6328,0.6327,0.63275,46
2024-11-12 17:13:00,0.63276,0.63277,0.63269,0.63271,56
2024-11-12 17:14:00,0.63271,0.63271,0.6326,0.63269,35
2024-11-12 17:15:00,0.63271,0.63272,0.63252,0.63253,62
2024-11-12 17:16:00,0.63253,0.63273,0.63253,0.63272,50
2024-11-12 17:17:00,0.63272,0.63272,0.63255,0.63266,49
2024-11-12 17:18:00,0.63266,0.63269,0.63262,0.63264,40
2024-11-12 17:19:00,0.63264,0.63274,0.6326,0.63274,46
2024-11-12 17:20:00,0.63273,0.63278,0.6327,0.63278,45
2024-11-12 17:21:00,0.63277,0.63282,0.63274,0.63279,52
2024-11-12 17:22:00,0.63279,0.63279,0.63267,0.63267,57
2024-11-12 17:23:00,0.63267,0.63276,0.63263,0.63273,62
2024-11-12 17:24:00,0.63274,0.63275,0.63265,0.63271,44
2024-11-12 17:25:00,0.6327,0.63283,0.6327,0.63277,59
2024-11-12 17:26:00,0.63277,0.63279,0.63264,0.63267,73
