time,open,high,low,close,tick_volume
2024-11-12 17:45:00,100.932,100.991,100.885,100.964,664
2024-11-12 17:50:00,100.965,101.108,100.964,101.104,767
2024-11-12 17:55:00,101.104,101.125,101.064,101.081,930
2024-11-12 18:00:00,101.084,101.115,101.044,101.087,733
2024-11-12 18:05:00,101.086,101.086,101.028,101.031,611
2024-11-12 18:10:00,101.031,101.05,100.989,100.999,618
2024-11-12 18:15:00,100.998,101.057,100.998,101.054,645
2024-11-12 18:20:00,101.054,101.069,101.004,101.014,629
2024-11-12 18:25:00,101.016,101.04,101.001,101.014,607
2024-11-12 18:30:00,101.014,101.044,101.009,101.023,525
2024-11-12 18:35:00,101.022,101.031,100.97,100.995,559
2024-11-12 18:40:00,100.995,101.012,100.97,100.975,646
2024-11-12 18:45:00,100.976,100.993,100.955,100.958,526
2024-11-12 18:50:00,100.957,100.99,100.957,100.969,517
2024-11-12 18:55:00,100.969,100.972,100.903,100.913,578
2024-11-12 19:00:00,100.915,100.915,100.858,100.877,561
2024-11-12 19:05:00,100.877,100.95,100.871,100.931,480
2024-11-12 19:10:00,100.931,100.94,100.868,100.937,638
2024-11-12 19:15:00,100.937,100.973,100.93,100.965,607
2024-11-12 19:20:00,100.964,100.992,100.935,100.983,526
2024-11-12 19:25:00,100.985,101.011,100.97,100.999,561
2024-11-12 19:30:00,100.997,101.008,100.961,100.983,531
2024-11-12 19:35:00,100.983,101.013,100.962,101.011,555
2024-11-12 19:40:00,101.011,101.011,100.953,100.96,507
2024-11-12 19:45:00,100.955,100.964,100.906,100.916,485
2024-11-12 19:50:00,100.915,100.963,100.913,100.941,513
2024-11-12 19:55:00,100.941,100.942,100.855,100.865,615
2024-11-12 20:00:00,100.865,100.921,100.857,100.914,639
2024-11-12 20:05:00,100.913,100.938,100.892,100.926,456
2024-11-12 20:10:00,100.926,100.986,100.924,100.981,433
2024-11-12 20:15:00,100.986,101.003,100.973,100.998,408
2024-11-12 20:20:00,100.999,101.008,100.955,100.979,488
2024-11-12 20:25:00,100.979,101.001,100.966,100.995,392
2024-11-12 20:30:00,100.994,101.017,100.989,101.003,433
2024-11-12 20:35:00,101.003,101.042,101.001,101.027,377
2024-11-12 20:40:00,101.026,101.039,101.02,101.028,386
2024-11-12 20:45:00,101.026,101.038,101.003,101.009,476
2024-11-12 20:50:00,101.009,101.063,101.009,101.058,471
2024-11-12 20:55:00,101.058,101.072,101.042,101.057,414
2024-11-12 21:00:00,101.057,101.074,101.048,101.073,351
2024-11-12 21:05:00,101.075,101.078,101.053,101.064,302
2024-11-12 21:10:00,101.065,101.078,101.052,101.062,358
2024-11-12 21:15:00,101.062,101.08,101.055,101.06,303
2024-11-12 21:20:00,101.06,101.072,101.051,101.066,259
2024-11-12 21:25:00,101.067,101.096,101.06,101.066,280
2024-11-12 21:30:00,101.066,101.076,101.044,101.06,299
2024-11-12 21:35:00,101.06,101.08,101.056,101.072,280
2024-11-12 21:40:00,101.072,101.079,101.063,101.066,193
2024-11-12 21:45:00,101.066,101.09,101.054,101.076,276
2024-11-12 21:50:00,101.077,101.089,101.064,101.074,294
2024-11-12 21:55:00,101.075,101.088,101.061,101.071,381
2024-11-12 22:00:00,101.072,101.133,101.072,101.122,336
2024-11-12 22:05:00,101.123,101.126,101.093,101.094,357
2024-11-12 22:10:00,101.094,101.097,101.074,101.08,372
2024-11-12 22:15:00,101.08,101.085,101.038,101.071,388
2024-11-12 22:20:00,101.071,101.094,101.062,101.081,291
2024-11-12 22:25:00,101.081,101.089,101.057,101.072,379
2024-11-12 22:30:00,101.07,101.083,101.062,101.082,307
2024-11-12 22:35:00,101.082,101.124,101.074,101.122,359
2024-11-12 22:40:00,101.122,101.134,101.095,101.111,296
2024-11-12 22:45:00,101.112,101.125,101.102,101.107,292
2024-11-12 22:50:00,101.1,101.115,101.076,101.077,424
2024-11-12 22:55:00,101.069,101.075,101.004,101.022,559
2024-11-12 23:00:00,101.022,101.075,100.988,101.066,444
2024-11-12 23:05:00,101.066,101.084,101.061,101.062,238
2024-11-12 23:10:00,101.063,101.065,101.035,101.049,229
2024-11-12 23:15:00,101.049,101.066,101.043,101.064,253
