time,open,high,low,close,tick_volume
2024-11-12 15:45:00,91.728,91.786,91.728,91.778,470
2024-11-12 15:50:00,91.775,91.787,91.755,91.772,439
2024-11-12 15:55:00,91.772,91.828,91.77,91.822,454
2024-11-12 16:00:00,91.822,91.825,91.766,91.78,487
2024-11-12 16:05:00,91.78,91.819,91.779,91.795,401
2024-11-12 16:10:00,91.796,91.806,91.743,91.768,447
2024-11-12 16:15:00,91.768,91.783,91.757,91.777,448
2024-11-12 16:20:00,91.776,91.79,91.755,91.762,415
2024-11-12 16:25:00,91.763,91.765,91.718,91.73,395
2024-11-12 16:30:00,91.73,91.735,91.665,91.674,528
2024-11-12 16:35:00,91.674,91.706,91.663,91.698,535
2024-11-12 16:40:00,91.697,91.723,91.663,91.677,525
2024-11-12 16:45:00,91.677,91.721,91.664,91.719,477
2024-11-12 16:50:00,91.719,91.759,91.716,91.727,455
2024-11-12 16:55:00,91.727,91.758,91.706,91.719,413
2024-11-12 17:00:00,91.72,91.72,91.635,91.643,576
2024-11-12 17:05:00,91.644,91.719,91.634,91.712,579
2024-11-12 17:10:00,91.712,91.722,91.691,91.708,495
2024-11-12 17:15:00,91.707,91.727,91.675,91.685,529
2024-11-12 17:20:00,91.685,91.701,91.668,91.673,462
2024-11-12 17:25:00,91.675,91.679,91.618,91.62,440
2024-11-12 17:30:00,91.62,91.629,91.582,91.593,374
2024-11-12 17:35:00,91.593,91.638,91.589,91.608,395
2024-11-12 17:40:00,91.609,91.626,91.585,91.585,405
2024-11-12 17:45:00,91.581,91.628,91.564,91.612,504
2024-11-12 17:50:00,91.613,91.663,91.612,91.658,596
2024-11-12 17:55:00,91.661,91.687,91.638,91.656,745
2024-11-12 18:00:00,91.657,91.681,91.616,91.645,647
2024-11-12 18:05:00,91.642,91.645,91.587,91.593,556
2024-11-12 18:10:00,91.595,91.613,91.58,91.597,463
2024-11-12 18:15:00,91.596,91.646,91.591,91.642,486
2024-11-12 18:20:00,91.644,91.657,91.611,91.626,498
2024-11-12 18:25:00,91.626,91.648,91.61,91.63,431
2024-11-12 18:30:00,91.629,91.651,91.625,91.636,439
2024-11-12 18:35:00,91.631,91.638,91.59,91.614,423
2024-11-12 18:40:00,91.614,91.628,91.592,91.594,507
2024-11-12 18:45:00,91.595,91.606,91.578,91.581,389
2024-11-12 18:50:00,91.581,91.611,91.581,91.594,444
2024-11-12 18:55:00,91.597,91.598,91.541,91.555,416
2024-11-12 19:00:00,91.555,91.565,91.522,91.538,453
2024-11-12 19:05:00,91.538,91.588,91.532,91.556,401
2024-11-12 19:10:00,91.558,91.573,91.511,91.573,483
2024-11-12 19:15:00,91.572,91.616,91.557,91.58,531
2024-11-12 19:20:00,91.577,91.6,91.563,91.594,417
2024-11-12 19:25:00,91.594,91.613,91.569,91.595,447
2024-11-12 19:30:00,91.594,91.608,91.559,91.588,408
2024-11-12 19:35:00,91.587,91.61,91.571,91.603,405
2024-11-12 19:40:00,91.603,91.604,91.559,91.56,363
2024-11-12 19:45:00,91.56,91.566,91.53,91.537,379
2024-11-12 19:50:00,91.539,91.577,91.535,91.566,342
