time,open,high,low,close,tick_volume
2024-11-12 16:00:00,175.172,175.256,175.152,175.171,2884
2024-11-12 16:30:00,175.171,175.213,175.062,175.152,3123
2024-11-12 17:00:00,175.148,175.216,175.036,175.105,3164
2024-11-12 17:30:00,175.104,175.146,174.979,175.142,3548
2024-11-12 18:00:00,175.144,175.25,175.073,175.229,3603
2024-11-12 18:30:00,175.231,175.319,175.218,175.297,2962
2024-11-12 19:00:00,175.297,175.348,175.267,175.324,2972
2024-11-12 19:30:00,175.325,175.411,175.3,175.38,2920
2024-11-12 20:00:00,175.378,175.472,175.362,175.385,2342
2024-11-12 20:30:00,175.386,175.404,175.332,175.342,2214
2024-11-12 21:00:00,175.342,175.399,175.336,175.385,2001
2024-11-12 21:30:00,175.382,175.4,175.346,175.358,1982
2024-11-12 22:00:00,175.362,175.397,175.281,175.306,1605
2024-11-12 22:30:00,175.309,175.313,175.238,175.25,1859
2024-11-12 23:00:00,175.251,175.351,175.219,175.33,1763
2024-11-12 23:30:00,175.33,175.408,175.323,175.364,833
2024-11-13 00:00:00,175.225,175.259,175.159,175.252,365
2024-11-13 00:30:00,175.256,175.319,175.168,175.184,1023
2024-11-13 01:00:00,175.195,175.312,175.175,175.31,1124
2024-11-13 01:30:00,175.31,175.34,175.255,175.307,1113
2024-11-13 02:00:00,175.307,175.417,175.3,175.354,2340
2024-11-13 02:30:00,175.354,175.534,175.321,175.513,2353
2024-11-13 03:00:00,175.513,175.562,175.414,175.558,3099
2024-11-13 03:30:00,175.558,175.569,175.299,175.316,2894
2024-11-13 04:00:00,175.315,175.48,175.258,175.458,2069
2024-11-13 04:30:00,175.458,175.478,175.319,175.414,1762
2024-11-13 05:00:00,175.416,175.445,175.367,175.419,1623
2024-11-13 05:30:00,175.419,175.501,175.371,175.445,1840
2024-11-13 06:00:00,175.446,175.534,175.401,175.475,1620
2024-11-13 06:30:00,175.475,175.496,175.409,175.438,1330
2024-11-13 07:00:00,175.438,175.438,175.321,175.351,1635
2024-11-13 07:30:00,175.351,175.502,175.343,175.47,1650
2024-11-13 08:00:00,175.468,175.645,175.46,175.597,2736
2024-11-13 08:30:00,175.598,175.609,175.497,175.535,2018
2024-11-13 09:00:00,175.534,175.545,175.406,175.465,2436
2024-11-13 09:30:00,175.463,175.63,175.417,175.522,2585
2024-11-13 10:00:00,175.522,175.623,175.485,175.618,3394
2024-11-13 10:30:00,175.616,175.623,175.478,175.607,2951
2024-11-13 11:00:00,175.606,175.643,175.502,175.511,2457
2024-11-13 11:30:00,175.51,175.524,175.362,175.501,2765
2024-11-13 12:00:00,175.502,175.545,175.41,175.439,2093
2024-11-13 12:30:00,175.436,175.45,175.358,175.435,2020
2024-11-13 13:00:00,175.435,175.524,175.417,175.472,1472
2024-11-13 13:30:00,175.47,175.517,175.383,175.493,2110
2024-11-13 14:00:00,175.493,175.545,175.425,175.515,2831
2024-11-13 14:30:00,175.519,175.697,175.514,175.697,2606
2024-11-13 15:00:00,175.688,175.73,175.559,175.559,3103
2024-11-13 15:30:00,175.537,175.766,175.275,175.312,6264
