time,open,high,low,close,tick_volume
2024-11-12 18:00:00,110.844,110.927,110.759,110.877,5205
2024-11-12 19:00:00,110.876,111.071,110.85,110.929,4548
2024-11-12 20:00:00,110.927,110.969,110.894,110.928,3659
2024-11-12 21:00:00,110.928,110.977,110.917,110.96,2787
2024-11-12 22:00:00,110.961,111.001,110.864,110.89,2817
2024-11-12 23:00:00,110.884,110.918,110.841,110.889,1984
2024-11-13 00:00:00,110.789,110.886,110.78,110.796,831
2024-11-13 01:00:00,110.807,110.908,110.753,110.901,1701
2024-11-13 02:00:00,110.901,111.08,110.895,111.08,3860
2024-11-13 03:00:00,111.083,111.104,110.851,110.866,4883
2024-11-13 04:00:00,110.866,111.0,110.803,110.947,3476
2024-11-13 05:00:00,110.948,111.004,110.891,110.946,2830
2024-11-13 06:00:00,110.946,111.009,110.908,110.979,2385
2024-11-13 07:00:00,110.979,111.018,110.911,111.002,2920
2024-11-13 08:00:00,111.0,111.15,110.996,111.085,3768
2024-11-13 09:00:00,111.085,111.134,110.997,111.125,3825
2024-11-13 10:00:00,111.121,111.201,111.032,111.07,4662
2024-11-13 11:00:00,111.069,111.11,110.966,111.054,4222
2024-11-13 12:00:00,111.053,111.072,110.966,111.045,3250
2024-11-13 13:00:00,111.046,111.062,110.946,110.978,2831
2024-11-13 14:00:00,110.977,111.03,110.922,111.004,4092
2024-11-13 15:00:00,111.004,111.138,110.728,110.781,7782
2024-11-13 16:00:00,110.78,110.8,110.575,110.708,8517
2024-11-13 17:00:00,110.706,110.97,110.679,110.939,8428
