time,open,high,low,close,tick_volume
2024-11-12 15:42:00,2.15448,2.15481,2.15448,2.15466,121
2024-11-12 15:43:00,2.15468,2.15497,2.15457,2.15491,139
2024-11-12 15:44:00,2.15491,2.1551299999999998,2.15469,2.15508,143
2024-11-12 15:45:00,2.15511,2.1551299999999998,2.15476,2.1548,132
2024-11-12 15:46:00,2.1548,2.15486,2.15444,2.1548,96
2024-11-12 15:47:00,2.15476,2.15476,2.15433,2.15433,105
2024-11-12 15:48:00,2.15433,2.15473,2.15427,2.15451,120
2024-11-12 15:49:00,2.1545199999999998,2.1545199999999998,2.15426,2.15439,101
2024-11-12 15:50:00,2.15441,2.15455,2.15395,2.15408,129
2024-11-12 15:51:00,2.15401,2.15421,2.15383,2.15392,105
2024-11-12 15:52:00,2.15399,2.15422,2.15376,2.15379,133
2024-11-12 15:53:00,2.1538,2.15404,2.15359,2.15367,129
2024-11-12 15:54:00,2.15367,2.15382,2.15345,2.15366,128
2024-11-12 15:55:00,2.15365,2.15373,2.15319,2.15334,130
2024-11-12 15:56:00,2.15334,2.1534,2.15304,2.15328,132
2024-11-12 15:57:00,2.15328,2.15359,2.15322,2.15331,140
2024-11-12 15:58:00,2.1532999999999998,2.15357,2.1532999999999998,2.15354,135
2024-11-12 15:59:00,2.15353,2.1536,2.15339,2.15349,124
2024-11-12 16:00:00,2.1535,2.1542,2.15347,2.15414,125
2024-11-12 16:01:00,2.15417,2.15451,2.1541,2.15438,145
2024-11-12 16:02:00,2.15438,2.15448,2.15366,2.15368,125
2024-11-12 16:03:00,2.15368,2.15467,2.15368,2.15461,131
2024-11-12 16:04:00,2.1546,2.1547,2.15443,2.15458,157
2024-11-12 16:05:00,2.15466,2.15484,2.1543,2.15461,99
2024-11-12 16:06:00,2.1546,2.15477,2.15457,2.15459,114
2024-11-12 16:07:00,2.15459,2.15466,2.15422,2.15434,127
2024-11-12 16:08:00,2.1543,2.15463,2.15424,2.15435,104
2024-11-12 16:09:00,2.15435,2.15447,2.15416,2.1542,118
2024-11-12 16:10:00,2.15419,2.15435,2.15398,2.15412,122
2024-11-12 16:11:00,2.15412,2.15423,2.15374,2.15402,114
2024-11-12 16:12:00,2.154,2.15431,2.15385,2.15422,132
2024-11-12 16:13:00,2.15422,2.15453,2.15422,2.15433,134
2024-11-12 16:14:00,2.15436,2.15467,2.15418,2.15459,115
2024-11-12 16:15:00,2.15467,2.15482,2.15451,2.1548,109
2024-11-12 16:16:00,2.15474,2.15486,2.15468,2.15477,99
2024-11-12 16:17:00,2.15477,2.1549300000000002,2.15446,2.15457,116
2024-11-12 16:18:00,2.15454,2.15468,2.1543200000000002,2.15447,118
2024-11-12 16:19:00,2.15451,2.15455,2.1543200000000002,2.15453,124
2024-11-12 16:20:00,2.1545,2.15479,2.1545,2.15464,116
2024-11-12 16:21:00,2.15465,2.15486,2.1546,2.15479,105
2024-11-12 16:22:00,2.15479,2.15492,2.15449,2.15453,137
2024-11-12 16:23:00,2.15449,2.15463,2.15444,2.15448,111
2024-11-12 16:24:00,2.15442,2.15444,2.15415,2.1543200000000002,116
2024-11-12 16:25:00,2.1543200000000002,2.1545199999999998,2.15427,2.15427,114
2024-11-12 16:26:00,2.15427,2.15482,2.15427,2.15473,97
2024-11-12 16:27:00,2.15471,2.15507,2.15471,2.155,90
2024-11-12 16:28:00,2.15496,2.15499,2.15464,2.15465,107
