time,open,high,low,close,tick_volume
2024-11-12 17:45:00,2.15137,2.1518,2.15048,2.15149,2222
2024-11-12 18:00:00,2.15148,2.15249,2.15099,2.15122,2120
2024-11-12 18:15:00,2.15122,2.1518,2.15018,2.15023,1690
2024-11-12 18:30:00,2.1502499999999998,2.15135,2.1498,2.15135,1919
2024-11-12 18:45:00,2.15135,2.1523,2.15092,2.15171,1845
2024-11-12 19:00:00,2.15163,2.15242,2.15121,2.15167,2069
2024-11-12 19:15:00,2.15169,2.15305,2.1512000000000002,2.15212,2012
2024-11-12 19:30:00,2.15212,2.15299,2.15188,2.15285,1619
2024-11-12 19:45:00,2.15285,2.15374,2.1526,2.15331,1751
2024-11-12 20:00:00,2.15327,2.15343,2.15233,2.15281,1484
2024-11-12 20:15:00,2.15282,2.15315,2.15206,2.15235,1137
2024-11-12 20:30:00,2.15236,2.15254,2.15185,2.15215,1144
2024-11-12 20:45:00,2.15215,2.15276,2.15145,2.15176,1314
2024-11-12 21:00:00,2.15177,2.15229,2.15137,2.15179,994
2024-11-12 21:15:00,2.15179,2.15189,2.1514,2.15158,1055
2024-11-12 21:30:00,2.15158,2.15177,2.15093,2.15098,837
2024-11-12 21:45:00,2.15098,2.151,2.15008,2.15046,981
2024-11-12 22:00:00,2.15044,2.15066,2.14978,2.15018,918
2024-11-12 22:15:00,2.15013,2.15029,2.14933,2.15001,871
2024-11-12 22:30:00,2.15001,2.15008,2.14898,2.14926,844
2024-11-12 22:45:00,2.14926,2.15028,2.14886,2.15019,1088
2024-11-12 23:00:00,2.15019,2.15047,2.14955,2.15027,896
2024-11-12 23:15:00,2.15027,2.15164,2.15002,2.15158,785
2024-11-12 23:30:00,2.15157,2.15225,2.15102,2.15128,623
2024-11-12 23:45:00,2.15128,2.15161,2.15057,2.15075,477
2024-11-13 00:00:00,2.1484199999999998,2.15096,2.14778,2.14993,276
2024-11-13 00:15:00,2.15003,2.15133,2.14994,2.1512000000000002,221
2024-11-13 00:30:00,2.15115,2.15166,2.15067,2.15111,639
2024-11-13 00:45:00,2.15111,2.15233,2.15087,2.15221,424
2024-11-13 01:00:00,2.15282,2.15285,2.15121,2.15127,429
2024-11-13 01:15:00,2.15127,2.15155,2.15077,2.15126,387
2024-11-13 01:30:00,2.15137,2.15206,2.15133,2.15155,304
2024-11-13 01:45:00,2.15155,2.15155,2.15038,2.15041,527
2024-11-13 02:00:00,2.15042,2.15134,2.15037,2.15077,904
